experiment,joint_name,segment,split,rmse_rad,mae_rad,lag_s,shape_correlation,peak_error_rad,overshoot_rad,peak_velocity_error_rad_s,settling_time_s,settling_error_rad,maximum_ctrl_saturation_fraction
fixed_velocity_limit_5,right_shoulder_roll_joint,motion_onset,fit,0.3887749105591273,0.32652464428558464,0.24,0.9993733030534276,0.6393722672209279,0.0022841254968986,1.3520645657897636,,,0.1891889875171216
fixed_velocity_limit_5,right_shoulder_roll_joint,peak_gesture,validation,0.2766278950025142,0.1593062126552327,0.16,0.999590802863623,0.6251996049790741,0.0,1.3601562250274066,,,0.1538335066740556
fixed_velocity_limit_5,right_shoulder_roll_joint,return_phase,fit,0.2297098305243317,0.12888414679407428,0.94,0.99857859580637,0.622059215804679,0.622059215804679,1.117349842303279,,,0.1676267638946
fixed_velocity_limit_5,right_shoulder_roll_joint,post_roll,validation,0.0008932376021341033,0.0008354737719182392,,,0.0014996901278861007,0.0014996901278861007,0.006892683396319201,,,0.0341044923118831
fixed_velocity_limit_5,right_shoulder_roll_joint,full_motion,combined,0.301041034713874,0.19888848180125826,0.24,0.9987350289108219,0.6393722672209279,0.0,1.3601562250274066,0.010203230000776387,0.0008354737719182392,0.1891889875171216
fixed_velocity_limit_5,left_wrist_yaw_joint,standing_pre_roll,validation,1.4542783679368284e-14,7.29928270604141e-15,,,5.490052856771399e-14,5.490052856771399e-14,0.006105422974034745,,,0.0003424226503747
fixed_velocity_limit_5,left_wrist_yaw_joint,motion_onset,fit,0.43630285358126913,0.3816769714806071,0.34,0.998576091633438,0.6716209093220662,0.00019292991562189915,1.2709137092398477,,,0.0182918350420134
fixed_velocity_limit_5,left_wrist_yaw_joint,peak_gesture,validation,0.25682473823268354,0.16524218684029776,0.24,0.9874924253426557,0.6548321273210269,0.0,1.2949642288561647,,,0.0159102735801669
fixed_velocity_limit_5,left_wrist_yaw_joint,return_phase,fit,0.3222971806817806,0.22766586329894573,-0.42,0.9129588416663118,0.6692461348244695,0.6607921496101148,1.0464827706844804,,,0.012639319158097
fixed_velocity_limit_5,left_wrist_yaw_joint,post_roll,validation,0.0003039642007622219,0.0001563870386560695,,,0.0011435228878567995,0.0011435228878567995,0.009517560986280801,,,0.0043610517978535
fixed_velocity_limit_5,left_wrist_yaw_joint,full_motion,combined,0.34144891215006945,0.25208635879730285,0.38,0.9932093319647658,0.6716209093220662,0.0,1.2949642288561647,0.010203230000776387,0.0001563870386560695,0.0182918350420134
fixed_velocity_limit_5,right_wrist_yaw_joint,standing_pre_roll,validation,9.345525209049783e-08,4.53766394132022e-08,,,3.735262581999049e-07,3.735262581999049e-07,0.006105422724732539,,,0.0004696282960581
fixed_velocity_limit_5,right_wrist_yaw_joint,motion_onset,fit,0.43675595145332097,0.3828204094381163,0.34,0.9985979986918856,0.6695038972547955,0.0003972635908158998,1.1479044248539698,,,0.0180003667147101
fixed_velocity_limit_5,right_wrist_yaw_joint,peak_gesture,validation,0.25797177461502946,0.16699177012825975,0.24,0.9877158753528741,0.654718928174702,0.0,1.2018734053329876,,,0.0159500488203305
fixed_velocity_limit_5,right_wrist_yaw_joint,return_phase,fit,0.32242678902714156,0.22803816607871216,-0.54,0.9558699123780411,0.6680722570971485,0.6601197537616224,0.9698450132788353,,,0.0127625374772896
fixed_velocity_limit_5,right_wrist_yaw_joint,post_roll,validation,0.0003224463871299109,0.00018399517283430216,0.16,0.9050548912275685,0.0011554668864482004,0.0011554668864482004,0.00610210132218612,,,0.0045131796122135
fixed_velocity_limit_5,right_wrist_yaw_joint,full_motion,combined,0.34196779497955065,0.25317207945841025,0.38,0.9933336616868276,0.6695038972547955,0.00037771315338509977,1.2018734053329876,0.010203230000776387,0.00018399517283430216,0.0180003667147101
fixed_velocity_limit_5,left_wrist_roll_joint,standing_pre_roll,validation,4.847808161328882e-14,3.0449502046765126e-14,,,1.4200099429650948e-13,1.4200099429650948e-13,0.007326126100085753,,,0.0178532507518692
fixed_velocity_limit_5,left_wrist_roll_joint,motion_onset,fit,0.28534202769209366,0.2477558197579583,0.34,0.998341405327368,0.43988353304481537,0.0001844130836609996,0.8184157847533692,,,0.130341575394715
fixed_velocity_limit_5,left_wrist_roll_joint,peak_gesture,validation,0.16828734946714108,0.10645455153914875,0.22,0.9869961279887919,0.4335667711419252,0.0,0.8532549263416052,,,0.2734291328895994
fixed_velocity_limit_5,left_wrist_roll_joint,return_phase,fit,0.21340490620315605,0.14952689287422968,1.0,0.9174716861057161,0.4402752038035864,0.4358843581683274,0.6771194592425668,,,0.1590936923481878
fixed_velocity_limit_5,left_wrist_roll_joint,post_roll,validation,0.00044559763662250406,0.000263001528242217,1.0,0.8628001272831083,0.0013776147188139017,0.0013776147188139017,0.0110542950060879,,,0.0712700142640029
fixed_velocity_limit_5,left_wrist_roll_joint,full_motion,combined,0.2242622179367381,0.1639625712945262,0.38,0.9929671400303827,0.4402752038035864,0.0,0.8532549263416052,0.010203230000776387,0.000263001528242217,0.2734291328895994
fixed_velocity_limit_5,right_wrist_roll_joint,standing_pre_roll,validation,2.352339521683687e-13,1.050514214308494e-13,,,1.0112006718077104e-12,1.0112006718077104e-12,0.007326126098777075,,,0.0195030301042318
fixed_velocity_limit_5,right_wrist_roll_joint,motion_onset,fit,0.2875335432269855,0.25132276965474454,0.34,0.9985337293980089,0.4417003325361173,0.00022237951341459988,0.756998294893759,,,0.1267410988560767
fixed_velocity_limit_5,right_wrist_roll_joint,peak_gesture,validation,0.1697146812325263,0.10811536843686982,0.22,0.9878342264321283,0.43404735771545583,0.0,0.8388884922479009,,,0.2720007736215746
fixed_velocity_limit_5,right_wrist_roll_joint,return_phase,fit,0.21475888143695362,0.1511340258212362,-0.5,0.9389270925543333,0.4414950824749713,0.4371302110149295,0.6262070144010329,,,0.1530820157550713
fixed_velocity_limit_5,right_wrist_roll_joint,post_roll,validation,0.00022872493417670073,0.00012297221312687308,,,0.0008261247411157002,0.0008261247411157002,0.007323717188907742,,,0.0518203654657392
fixed_velocity_limit_5,right_wrist_roll_joint,full_motion,combined,0.22592519900111743,0.16617712173924304,0.38,0.9932402879746993,0.4417003325361173,0.0,0.8388884922479009,0.010203230000776387,0.00012297221312687308,0.2720007736215746
fixed_velocity_limit_5,left_shoulder_yaw_joint,standing_pre_roll,validation,5.658190173103323e-13,2.94089876459339e-13,,,2.107600552414546e-12,2.107600552414546e-12,0.006105422986668932,,,0.0210284643762546
fixed_velocity_limit_5,left_shoulder_yaw_joint,motion_onset,fit,0.27710638251581377,0.23348901140554515,0.24,0.9993616981138057,0.4518716053497447,0.00040179931111540036,0.8763814338008213,,,0.1071071586840094
fixed_velocity_limit_5,left_shoulder_yaw_joint,peak_gesture,validation,0.19303505013645625,0.11087850944747021,0.14,0.9996414272040486,0.44326939448489633,0.0,0.9219490979819922,,,0.064908409475513
fixed_velocity_limit_5,left_shoulder_yaw_joint,return_phase,fit,0.1675731808303599,0.09462055471022393,0.88,0.9882824521587947,0.44271195469995106,0.44271195469995106,0.8571500851358219,,,0.0876454721070931
fixed_velocity_limit_5,left_shoulder_yaw_joint,post_roll,validation,1.619980499132022e-05,7.95727631272139e-06,,,6.359097361859946e-05,6.359097361859946e-05,0.0063143117098456,,,0.0211359388635116
fixed_velocity_limit_5,left_shoulder_yaw_joint,full_motion,combined,0.21429449012239365,0.14201757357273165,0.24,0.9985981512313399,0.4518716053497447,0.0,0.9219490979819922,0.010203230000776387,7.95727631272139e-06,0.1071071586840094
fixed_velocity_limit_5,right_shoulder_yaw_joint,standing_pre_roll,validation,3.330877959891639e-11,1.7185878315688947e-11,,,1.2363719943675466e-10,1.2363719943675466e-10,0.006105423311569049,,,0.0213480148285597
fixed_velocity_limit_5,right_shoulder_yaw_joint,motion_onset,fit,0.2764904909397323,0.23211566043935272,0.24,0.9993257370116297,0.4498095580660124,0.0003168695710191998,0.8941524907517839,,,0.107061872296249
fixed_velocity_limit_5,right_shoulder_yaw_joint,peak_gesture,validation,0.19337369289156853,0.11050684830284183,0.14,0.9996149013134386,0.44395526948326747,0.0,0.9489059049126664,,,0.0665253548969744
fixed_velocity_limit_5,right_shoulder_yaw_joint,return_phase,fit,0.16678469570524038,0.09377081086384031,0.88,0.9864342266605641,0.4443512437158867,0.4443512437158867,0.9381398947112018,,,0.0882122881525961
fixed_velocity_limit_5,right_shoulder_yaw_joint,post_roll,validation,1.5778776204550084e-05,7.722082996758529e-06,,,6.200351953119989e-05,6.200351953119989e-05,0.006105399483025102,,,0.0214052660416318
fixed_velocity_limit_5,right_shoulder_yaw_joint,full_motion,combined,0.2139468887140151,0.14117780704892763,0.24,0.9985552109600871,0.4498095580660124,0.0,0.9489059049126664,0.010203230000776387,7.722082996758529e-06,0.107061872296249
fixed_velocity_limit_2,left_shoulder_roll_joint,standing_pre_roll,validation,1.1496544266111032e-10,1.0573594000610436e-10,,,2.0391110154560632e-10,2.0391110154560632e-10,0.006105423080295137,,,0.034801575060578
fixed_velocity_limit_2,left_shoulder_roll_joint,motion_onset,fit,0.4968677270485024,0.41829437728065233,0.36,0.9981926937262686,0.8303495291211731,0.0023889442636699006,2.0079665882250533,,,0.1814620358416464
fixed_velocity_limit_2,left_shoulder_roll_joint,peak_gesture,validation,0.3163064018126804,0.18081421704947426,0.12,0.9994077006084432,0.8034772670747763,0.0,1.4941979901404199,,,0.1500351636800216
fixed_velocity_limit_2,left_shoulder_roll_joint,return_phase,fit,0.3378481063179577,0.19455029735789853,1.0,0.9965966345345482,0.8181598833799519,0.8125146376370336,1.8339689713055747,,,0.1588917698906099
fixed_velocity_limit_2,left_shoulder_roll_joint,post_roll,validation,0.0009531034699440856,0.0008914995743418475,,,0.0015996509581985997,0.0015996509581985997,0.0058763113256669,,,0.0334608922294789
fixed_velocity_limit_2,left_shoulder_roll_joint,full_motion,combined,0.3861081886674305,0.2569473816084288,0.32,0.9958604550333516,0.8303495291211731,0.0,2.0079665882250533,0.010203230000776387,0.0008914995743418475,0.1814620358416464
fixed_velocity_limit_2,right_shoulder_roll_joint,standing_pre_roll,validation,3.768399523284313e-10,3.4693551564587976e-10,,,6.632978003656698e-10,6.632978003656698e-10,0.006105422893041941,,,0.0354336705348807
