condition,mode,timestamp_s,sim_time_s,geom1_id,geom2_id,signed_wrist_geom_distance_m,nearest_point_geom1_x_m,nearest_point_geom1_y_m,nearest_point_geom1_z_m,nearest_point_geom2_x_m,nearest_point_geom2_y_m,nearest_point_geom2_z_m
original,arm_only,10.391999999996909,15.391999999996909,67,80,0.4489636291404034,0.21821097692656025,0.22119630991649106,0.6676193960495878,0.19496379461418395,-0.22716502130408311,0.6677789942055019
original,arm_only,10.392999999996908,15.392999999996908,67,80,0.4489636291368177,0.21821150656204202,0.22119563270972864,0.6676193211877726,0.19496330771037,-0.22716564576460574,0.6677790168841066
original,arm_only,10.393999999996907,15.393999999996907,67,80,0.448963629135741,0.21821203846378573,0.22119494637056958,0.6676192434023778,0.19496281727748177,-0.22716627905498296,0.6677790428467331
original,arm_only,10.394999999996907,15.394999999996907,67,80,0.4489636291369359,0.21821257271945638,0.22119425048794106,0.6676191626538597,0.1949623232228576,-0.22716692157662485,0.6677790721369247
original,arm_only,10.395999999996906,15.395999999996906,67,80,0.4489636291403039,0.21821310941379146,0.2211935446633205,0.6676190789077411,0.19496182546010185,-0.22716757371900947,0.6677791047916782
original,arm_only,10.396999999996906,15.396999999996906,67,80,0.4489636291454737,0.21821364857874384,0.22119282894054831,0.6676189922382453,0.19496132406829347,-0.22716823544040893,0.667779140638976
original,arm_only,10.397999999996905,15.397999999996905,67,80,0.44896362915205684,0.21821419020479993,0.22119210362257127,0.6676189027888304,0.19496081921715136,-0.22716890644688725,0.6677791793974808
original,arm_only,10.398999999996905,15.398999999996905,67,80,0.44896362918693444,0.21821473515647355,0.2211913697571466,0.667618811275154,0.19496031162252825,-0.22716958571024326,0.667779220677396
original,arm_only,10.399999999996904,15.399999999996904,67,80,0.4489636292624916,0.2182152829343778,0.22119062755210084,0.6676187176876147,0.1949598023029822,-0.2271702731135359,0.667779265032183
original,arm_only,10.400999999996904,15.400999999996904,67,80,0.44896362933768946,0.21821583302596304,0.22118987665391399,0.6676186217698902,0.1949592899637055,-0.22717096892881253,0.6677793115520729
original,arm_only,10.401999999996903,15.401999999996903,67,80,0.4489636294117773,0.21821638537648885,0.2211891173600462,0.6676185236759595,0.19495877474422957,-0.22717167286803006,0.6677793600181575
original,arm_only,10.402999999996903,15.402999999996903,67,80,0.4489636295113218,0.21821694081211981,0.2211883507045955,0.6676184241224944,0.19495825733145775,-0.22717238391680386,0.6677794100997797
original,arm_only,10.403999999996902,15.403999999996902,67,80,0.448963629608436,0.21821749834443663,0.22118757623740884,0.6676183227029395,0.1949577372922851,-0.22717310252600253,0.6677794617446302
original,arm_only,10.404999999996901,15.404999999996901,67,80,0.44896362970281073,0.21821805790509763,0.2211867942347422,0.6676182195606045,0.19495721475112635,-0.2271738284291388,0.6677795147737994
original,arm_only,10.4059999999969,15.4059999999969,67,80,0.44896362979439614,0.21821861942260753,0.2211860049664348,0.6676181148361524,0.19495668982796593,-0.22717456136633263,0.6677795690202745
original,arm_only,10.4069999999969,15.4069999999969,67,80,0.4489636298833363,0.21821918282331348,0.22118520869514027,0.6676180086666775,0.1949561626384894,-0.2271753010849694,0.6677796243283012
original,arm_only,10.4079999999969,15.4079999999969,67,80,0.4489636299699246,0.21821974803226113,0.22118440567577116,0.6676179011849697,0.19495563329421053,-0.22717604734017263,0.6677796805527613
original,arm_only,10.4089999999969,15.4089999999969,67,80,0.4489636300826444,0.21822031579849774,0.22118359770408003,0.667617793380517,0.1949551029839644,-0.22717679838800833,0.6677797372772437
original,arm_only,10.409999999996899,15.409999999996899,67,80,0.4489636302331789,0.21822088543665902,0.22118278573621558,0.6676176852967359,0.19495457278494815,-0.22717755337542614,0.6677797946458927
original,arm_only,10.410999999996898,15.410999999996898,67,80,0.4489636304084363,0.21822145722776204,0.22118197081426724,0.6676175774902292,0.19495404231729818,-0.22717831121349963,0.6677798516058524
