sim_time,t,joint_name,input_mode,coordinate_mapping_status,reference_position,reference_velocity,target_position,target_clipped,position,velocity,actuator_force,ctrl,ctrl_saturation_fraction,lower_limit,upper_limit,limit_margin,at_or_beyond_limit
4.919999999999978,-8.850379783000022,right_hip_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.017612059752114294,-0.0061054229736328,-0.017612059752114294,0,-0.022042177011293643,-0.00017115432493822845,0.1072360619653211,0.1072360619653211,0.0009087801861467889,-2.905973,0.235619,0.25766117701129365,0
4.919999999999978,-8.850379783000022,right_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0135178565979003,0.0061054229736328,-0.0135178565979003,0,-0.01450984878128899,-1.605309407164478e-05,0.33022818919569646,0.33022818919569646,0.0027985439762347156,-3.429572,1.684242,1.698751848781289,0
4.919999999999978,-8.850379783000022,right_knee_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.4804167747497558,0.0061054229736328,0.4804167747497558,0,0.5977628391205114,-0.0011171132191399907,-11.830702038032019,-11.830702038032019,0.1002601867629832,0.0,2.408554,0.5977628391205114,0
4.919999999999978,-8.850379783000022,right_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.3975830078125,0.0061054229736328,0.3975830078125,0,0.3975737069555548,3.577615617794334e-06,0.01995929951644255,0.01995929951644255,0.0005544249865678487,-3.080506,2.033309,1.6357352930444453,0
4.919999999999978,-8.850379783000022,right_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0129427909851074,-0.0061054229736328,0.0129427909851074,0,0.012853728184457945,4.7839688914114246e-05,-1.3089175902997707,-1.3089175902997707,0.03635882195277141,-3.0456,0.061087,0.04823327181554206,0
4.919999999999978,-8.850379783000022,right_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0060400962829589,0.0061054229736328,0.0060400962829589,0,0.006040374225000552,-7.441569684642305e-08,-0.5309787941552955,-0.5309787941552955,0.022124116423137313,-2.556908,2.556908,2.5508676257749996,0
4.919999999999978,-8.850379783000022,right_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0066757202148437,0.0073261260986328,0.0066757202148437,0,0.006675639496213706,1.5353658781229347e-07,-0.19588193228160622,-0.19588193228160622,0.08903724194618463,-0.575959,0.575959,0.5692833605037863,0
4.919999999999978,-8.850379783000022,right_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0059127807617187,-0.0073261260986328,0.0059127807617187,0,0.005912826591401373,-6.972976153996696e-09,-0.04455492733259233,-0.04455492733259233,0.020252239696632875,-0.724312,1.50971,0.7302248265914013,0
4.919999999999978,-8.850379783000022,right_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0081491470336914,0.0061054229736328,-0.0081491470336914,0,-0.008150516199904366,4.23838485151827e-06,0.010673582897859262,0.010673582897859262,0.0004447326207441359,-2.556908,2.556908,2.5487574838000957,0
4.919999999999978,-8.850379783000022,waist_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0309069952289138,-1.32024283139604e-06,-0.0309069952289138,0,-0.030825667321664408,-4.9826653389197626e-05,-0.037361095268268474,-0.037361095268268474,0.0007783561514222598,-0.314159,0.314159,0.2833333326783356,0
