experiment,quantity,kind,real_excursion,sim_excursion,excursion_ratio,delta_rmse,peak_timing_difference_s,phase_lag_candidate_s,shape_correlation,real_recovery_s,sim_recovery_s,frame_status
free_balance_gain_scale_060,left_ankle_pitch_joint,joint,0.04621076583862299,0.029343646956776548,0.6349959024537764,0.01602243860543346,0.11999999999999744,-0.38,0.45366458657495623,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_balance_gain_scale_060,right_ankle_pitch_joint,joint,0.0320215225219726,0.02796289664269358,0.873253188492394,0.011674485288814153,0.07999999999999807,-0.46,0.570766840202959,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_balance_gain_scale_060,left_hip_pitch_joint,joint,0.035664558410644476,0.032945511861493304,0.9237605435109034,0.016787587425216192,-2.0800000000000023,-1.0,0.27084108083000435,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_balance_gain_scale_060,right_hip_pitch_joint,joint,0.04103374481201166,0.0369832321893902,0.9012882533344662,0.021737435470445345,-1.9800000000000004,-1.0,0.4059922141250366,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_balance_gain_scale_060,left_knee_joint,joint,0.007477760314941406,0.07211764727072101,9.644284415832617,0.025799190458754312,-2.040000000000003,0.8,0.42181665263200213,,0.9502032300019252,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_balance_gain_scale_060,right_knee_joint,joint,0.023776531219482477,0.0710904665242097,2.989942724107636,0.029606557127190843,-0.019999999999999796,0.8,0.45535295073803217,0.010203230000019659,1.3702032300024385,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_balance_gain_scale_060,waist_pitch_joint,joint,0.032339343251161,0.021655565052921502,0.6696352762866963,0.012380756027926917,1.9600000000000044,-0.36,0.188489602681644,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_balance_gain_scale_060,waist_roll_joint,joint,0.0102206828571298,0.00018320912962774554,0.01792533162301788,0.003229576706075579,2.560000000000004,1.0,0.580325253834912,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_balance_gain_scale_060,torso_relative_roll_rad,imu,0.0039675345949268,0.005099896468797764,1.285406931377206,0.002352355273615596,1.8400000000000034,-1.0,0.0631432289128791,,,PARTIAL_TRANSFORM_RELATIVE_BASELINE_ONLY
free_balance_gain_scale_060,torso_relative_pitch_rad,imu,0.0469125937743554,0.08600808546380641,1.8333687938359617,0.033243698692063235,-0.21999999999999886,0.66,0.42504943011825314,,,PARTIAL_TRANSFORM_RELATIVE_BASELINE_ONLY
free_balance_gain_scale_060,torso_gyro_norm,imu,0.11098609914368371,0.14314925526462946,1.289794455063305,0.04563495554050149,2.560000000000004,0.0,0.3815495364222945,,,ROTATION_INVARIANT_NORM_ONLY
free_equilibrium_target_compensation,left_ankle_pitch_joint,joint,0.04621076583862299,0.07487211921797071,1.6202310838006615,0.029725242222958515,-0.3800000000000008,-0.4,0.2403230605990604,0.010203230000019659,0.5102032300013875,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_equilibrium_target_compensation,right_ankle_pitch_joint,joint,0.0320215225219726,0.07254553212237022,2.2655241352934037,0.02346790043314976,-0.3800000000000008,-0.42,0.2863615737294798,0.010203230000019659,0.6302032300015341,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_equilibrium_target_compensation,left_hip_pitch_joint,joint,0.035664558410644476,0.051803692052250105,1.4525258228569213,0.023255000558324194,-2.300000000000001,0.96,0.267023680892028,0.010203230000019659,0.3502032300011919,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_equilibrium_target_compensation,right_hip_pitch_joint,joint,0.04103374481201166,0.05326828222201824,1.2981579542899824,0.027121464819019177,-2.1799999999999997,1.0,0.2515347337627812,0.010203230000019659,0.47020323000133857,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_equilibrium_target_compensation,left_knee_joint,joint,0.007477760314941406,0.08892578567784026,11.892034771448417,0.023934467977419188,-1.5400000000000031,0.54,0.39362154879349176,,1.390203230002463,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_equilibrium_target_compensation,right_knee_joint,joint,0.023776531219482477,0.08470215889218452,3.5624270887243474,0.02591095608415358,0.5399999999999989,0.38,0.3600470825078152,0.010203230000019659,1.3102032300023652,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_equilibrium_target_compensation,waist_pitch_joint,joint,0.032339343251161,0.04040999795525855,1.2495614905169048,0.016153143273733978,1.9000000000000021,1.0,0.2812435298772914,0.010203230000019659,0.1102032300008986,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_equilibrium_target_compensation,waist_roll_joint,joint,0.0102206828571298,0.00016492800198464504,0.016136691089049266,0.003219075110185696,0.8400000000000016,-0.54,0.3009710557395879,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_equilibrium_target_compensation,torso_relative_roll_rad,imu,0.0039675345949268,0.0025040372861156626,0.6311318089872539,0.00226118434607091,-0.7600000000000016,-0.46,0.2209793909626791,,,PARTIAL_TRANSFORM_RELATIVE_BASELINE_ONLY
free_equilibrium_target_compensation,torso_relative_pitch_rad,imu,0.0469125937743554,0.07562934216316222,1.6121330346160636,0.02189735405249142,0.3200000000000003,0.34,0.6865512541008312,,,PARTIAL_TRANSFORM_RELATIVE_BASELINE_ONLY
free_equilibrium_target_compensation,torso_gyro_norm,imu,0.11098609914368371,0.15933171197104398,1.4356006130530956,0.07122826914630993,0.3800000000000008,0.36,0.6542315568959616,,,ROTATION_INVARIANT_NORM_ONLY
