topic,receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,source_stamp_sec,source_stamp_nanosec,source_time_ns,source_time_utc,frame_id,sequence,meas_stamp_sec,meas_stamp_nanosec,meas_time_ns,message.header.stamp.sec,message.header.stamp.nanosec,message.header.frame_id,message.header.sequence,message.header.meas_stamp.sec,message.header.meas_stamp.nanosec,message.input_source.name,message.input_source.priority,message.input_source.timeout,message.action_info.current_action.value,message.action_info.action_desc,message.action_info.status.value,message.runtime_model.waist_status,message.runtime_model.left_hand_status.value,message.runtime_model.right_hand_status.value,message.motion_status.player_state.value,message.motion_status.control_area.value,message.motion_status.motion,message.motion_status.type.value,message.servo_status.squat_enable,message.servo_status.squat_offset,message.servo_status.squat_limit,message.servo_status.head_yaw_offset,message.servo_status.head_pitch_offset,message.servo_status.waist_yaw_offset,message.servo_status.waist_pitch_offset,message.servo_status.waist_roll_offset,message.fsm_state.current_state,message.body_status.value,message.speed_status.speed_mode.value,message.speed_status.forward_bounds.min_value,message.speed_status.forward_bounds.max_value,message.speed_status.lateral_bounds.min_value,message.speed_status.lateral_bounds.max_value,message.speed_status.angular_bounds.min_value,message.speed_status.angular_bounds.max_value
/aima/mc/common/state,1786663933371875176,2026-08-13T23:32:13.371875+00:00,14070446970219,3.78240549,1786663933,368356796,1786663933368356796,2026-08-13T23:32:13.368357+00:00,,140201,0,0,0,1786663933,368356796,,140201,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663933474296328,2026-08-13T23:32:13.474296+00:00,14070549391403,3.884826674,1786663933,468355588,1786663933468355588,2026-08-13T23:32:13.468356+00:00,,140202,0,0,0,1786663933,468355588,,140202,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663933573490472,2026-08-13T23:32:13.573490+00:00,14070648583916,3.984019187,1786663933,568357879,1786663933568357879,2026-08-13T23:32:13.568358+00:00,,140203,0,0,0,1786663933,568357879,,140203,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663933671636731,2026-08-13T23:32:13.671637+00:00,14070746731582,4.082166853,1786663933,668356088,1786663933668356088,2026-08-13T23:32:13.668356+00:00,,140204,0,0,0,1786663933,668356088,,140204,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663933772796229,2026-08-13T23:32:13.772796+00:00,14070847891176,4.183326447,1786663933,768355754,1786663933768355754,2026-08-13T23:32:13.768356+00:00,,140205,0,0,0,1786663933,768355754,,140205,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663933871633730,2026-08-13T23:32:13.871634+00:00,14070946728709,4.28216398,1786663933,868365338,1786663933868365338,2026-08-13T23:32:13.868365+00:00,,140206,0,0,0,1786663933,868365338,,140206,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663933971289979,2026-08-13T23:32:13.971290+00:00,14071046384542,4.381819813,1786663933,968384546,1786663933968384546,2026-08-13T23:32:13.968385+00:00,,140207,0,0,0,1786663933,968384546,,140207,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663934072509651,2026-08-13T23:32:14.072510+00:00,14071147604630,4.483039901,1786663934,68356505,1786663934068356505,2026-08-13T23:32:14.068357+00:00,,140208,0,0,0,1786663934,68356505,,140208,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663934172014738,2026-08-13T23:32:14.172015+00:00,14071247109173,4.582544444,1786663934,168356171,1786663934168356171,2026-08-13T23:32:14.168356+00:00,,140209,0,0,0,1786663934,168356171,,140209,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663934273077937,2026-08-13T23:32:14.273078+00:00,14071348172756,4.683608027,1786663934,268358171,1786663934268358171,2026-08-13T23:32:14.268358+00:00,,140210,0,0,0,1786663934,268358171,,140210,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
