receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,source_stamp_sec,source_stamp_nanosec,source_time_ns,source_time_utc,frame_id,sequence,meas_stamp_sec,meas_stamp_nanosec,meas_time_ns,array_state,joint_index,joint_name,position,velocity,effort,coil_temp,motor_temp,motor_vol
1786663930570589336,2026-08-13T23:32:10.570590+00:00,14067645684315,0.981119586,1786663930,543589336,1786663930543589336,2026-08-13T23:32:10.543589+00:00,x2_head,1401090,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930591664050,2026-08-13T23:32:10.591664+00:00,14067666758965,1.002194236,1786663930,573583170,1786663930573583170,2026-08-13T23:32:10.573583+00:00,x2_head,1401093,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0020757317543029785,0,148,23
1786663930591664050,2026-08-13T23:32:10.591664+00:00,14067666758965,1.002194236,1786663930,573583170,1786663930573583170,2026-08-13T23:32:10.573583+00:00,x2_head,1401093,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930613296954,2026-08-13T23:32:10.613297+00:00,14067688391933,1.023827204,1786663930,606584961,1786663930606584961,2026-08-13T23:32:10.606585+00:00,x2_head,1401096,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0013431310653686523,0,134,23
1786663930613296954,2026-08-13T23:32:10.613297+00:00,14067688391933,1.023827204,1786663930,606584961,1786663930606584961,2026-08-13T23:32:10.606585+00:00,x2_head,1401096,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930638292540,2026-08-13T23:32:10.638293+00:00,14067713387679,1.04882295,1786663930,627584378,1786663930627584378,2026-08-13T23:32:10.627584+00:00,x2_head,1401098,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0003663301467895508,0,134,23
1786663930638292540,2026-08-13T23:32:10.638293+00:00,14067713387679,1.04882295,1786663930,627584378,1786663930627584378,2026-08-13T23:32:10.627584+00:00,x2_head,1401098,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930659697419,2026-08-13T23:32:10.659697+00:00,14067734792494,1.070227765,1786663930,657582295,1786663930657582295,2026-08-13T23:32:10.657582+00:00,x2_head,1401101,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0006105303764343262,0,134,23
1786663930659697419,2026-08-13T23:32:10.659697+00:00,14067734792494,1.070227765,1786663930,657582295,1786663930657582295,2026-08-13T23:32:10.657582+00:00,x2_head,1401101,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930680257237,2026-08-13T23:32:10.680257+00:00,14067755352344,1.090787615,1786663930,675579003,1786663930675579003,2026-08-13T23:32:10.675579+00:00,x2_head,1401102,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.001098930835723877,0,148,23
1786663930680257237,2026-08-13T23:32:10.680257+00:00,14067755352344,1.090787615,1786663930,675579003,1786663930675579003,2026-08-13T23:32:10.675579+00:00,x2_head,1401102,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930703461101,2026-08-13T23:32:10.703461+00:00,14067778556208,1.113991479,1786663930,700582420,1786663930700582420,2026-08-13T23:32:10.700583+00:00,x2_head,1401106,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0013431310653686523,0,121,23
1786663930703461101,2026-08-13T23:32:10.703461+00:00,14067778556208,1.113991479,1786663930,700582420,1786663930700582420,2026-08-13T23:32:10.700583+00:00,x2_head,1401106,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930724545030,2026-08-13T23:32:10.724545+00:00,14067799639977,1.135075248,1786663930,721578336,1786663930721578336,2026-08-13T23:32:10.721578+00:00,x2_head,1401108,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0015873312950134277,0,134,23
1786663930724545030,2026-08-13T23:32:10.724545+00:00,14067799639977,1.135075248,1786663930,721578336,1786663930721578336,2026-08-13T23:32:10.721578+00:00,x2_head,1401108,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930744984115,2026-08-13T23:32:10.744984+00:00,14067820079222,1.155514493,1786663930,742653586,1786663930742653586,2026-08-13T23:32:10.742654+00:00,x2_head,1401110,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0013431310653686523,0,121,23
1786663930744984115,2026-08-13T23:32:10.744984+00:00,14067820079222,1.155514493,1786663930,742653586,1786663930742653586,2026-08-13T23:32:10.742654+00:00,x2_head,1401110,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930769289578,2026-08-13T23:32:10.769289+00:00,14067844384717,1.179819988,1786663930,763690920,1786663930763690920,2026-08-13T23:32:10.763691+00:00,x2_head,1401112,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0018315315246582031,0,134,23
1786663930769289578,2026-08-13T23:32:10.769289+00:00,14067844384717,1.179819988,1786663930,763690920,1786663930763690920,2026-08-13T23:32:10.763691+00:00,x2_head,1401112,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930789811614,2026-08-13T23:32:10.789812+00:00,14067864906721,1.200341992,1786663930,787570836,1786663930787570836,2026-08-13T23:32:10.787571+00:00,x2_head,1401114,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.001098930835723877,0,148,23
1786663930789811614,2026-08-13T23:32:10.789812+00:00,14067864906721,1.200341992,1786663930,787570836,1786663930787570836,2026-08-13T23:32:10.787571+00:00,x2_head,1401114,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930810279111,2026-08-13T23:32:10.810279+00:00,14067885374218,1.220809489,1786663930,799579920,1786663930799579920,2026-08-13T23:32:10.799580+00:00,x2_head,1401115,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0018315315246582031,0,134,23
1786663930810279111,2026-08-13T23:32:10.810279+00:00,14067885374218,1.220809489,1786663930,799579920,1786663930799579920,2026-08-13T23:32:10.799580+00:00,x2_head,1401115,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930833469637,2026-08-13T23:32:10.833470+00:00,14067908564808,1.244000079,1786663930,829567920,1786663930829567920,2026-08-13T23:32:10.829568+00:00,x2_head,1401118,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.001098930835723877,0,148,23
1786663930833469637,2026-08-13T23:32:10.833470+00:00,14067908564808,1.244000079,1786663930,829567920,1786663930829567920,2026-08-13T23:32:10.829568+00:00,x2_head,1401118,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930855253390,2026-08-13T23:32:10.855253+00:00,14067930348241,1.265783512,1786663930,850574336,1786663930850574336,2026-08-13T23:32:10.850574+00:00,x2_head,1401121,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0018315315246582031,0,163,23
1786663930855253390,2026-08-13T23:32:10.855253+00:00,14067930348241,1.265783512,1786663930,850574336,1786663930850574336,2026-08-13T23:32:10.850574+00:00,x2_head,1401121,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930875827946,2026-08-13T23:32:10.875828+00:00,14067950922957,1.286358228,1786663930,874560711,1786663930874560711,2026-08-13T23:32:10.874561+00:00,x2_head,1401123,0,0,0,0,0,head_yaw_joint,0.0001437664031982422,0.0030689239501953125,-0.0006105303764343262,0,121,23
1786663930875827946,2026-08-13T23:32:10.875828+00:00,14067950922957,1.286358228,1786663930,874560711,1786663930874560711,2026-08-13T23:32:10.874561+00:00,x2_head,1401123,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930897682666,2026-08-13T23:32:10.897683+00:00,14067972777677,1.308212948,1786663930,895568295,1786663930895568295,2026-08-13T23:32:10.895568+00:00,x2_head,1401125,0,0,0,0,0,head_yaw_joint,0.0001437664031982422,0.0030689239501953125,-0.0018315315246582031,0,55,23
1786663930897682666,2026-08-13T23:32:10.897683+00:00,14067972777677,1.308212948,1786663930,895568295,1786663930895568295,2026-08-13T23:32:10.895568+00:00,x2_head,1401125,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930917886867,2026-08-13T23:32:10.917887+00:00,14067992981942,1.328417213,1786663930,913565295,1786663930913565295,2026-08-13T23:32:10.913565+00:00,x2_head,1401127,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0018315315246582031,0,134,23
1786663930917886867,2026-08-13T23:32:10.917887+00:00,14067992981942,1.328417213,1786663930,913565295,1786663930913565295,2026-08-13T23:32:10.913565+00:00,x2_head,1401127,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930940055854,2026-08-13T23:32:10.940056+00:00,14068015150961,1.350586232,1786663930,937561003,1786663930937561003,2026-08-13T23:32:10.937561+00:00,x2_head,1401129,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0008547306060791016,0,121,23
1786663930940055854,2026-08-13T23:32:10.940056+00:00,14068015150961,1.350586232,1786663930,937561003,1786663930937561003,2026-08-13T23:32:10.937561+00:00,x2_head,1401129,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
