controller,dataset,t,joint_name,plane,total_balance_request_nm,raw_desired_allocation_weight,raw_desired_allocation_nm,priority_and_preallocation_constraint_scaling,redistributed_allocation_weight,redistributed_allocation_nm,post_contact_scaling,post_limit_scaling,post_saturation_scaling,post_rate_scaling,final_allocation_nm
PHASE3AX_BASELINE,heart,-4.84,left_ankle_pitch_joint,pitch,-0.8361106686730173,0.7,-0.585277468071112,1.0,0.7643678160919539,-0.6390960858247775,1.0,1.0,1.0,1.0,-0.6390960858247775
PHASE3AX_BASELINE,heart,-4.84,left_ankle_roll_joint,roll,0.6189152856270426,0.7,0.4332406999389298,1.0,0.7,0.4332406999389298,1.0,1.0,1.0,1.0,0.4332406999389298
PHASE3AX_BASELINE,heart,-4.84,left_hip_pitch_joint,pitch,-0.8361106686730173,0.1,-0.08361106686730174,1.0,0.0873563218390804,-0.0730395526656888,1.0,1.0,1.0,1.0,-0.0730395526656888
PHASE3AX_BASELINE,heart,-4.84,left_hip_roll_joint,roll,0.6189152856270426,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.84,left_knee_joint,pitch,-0.8361106686730173,0.15,-0.12541660030095259,1.0,0.0982758620689655,-0.0821694967488999,1.0,1.0,1.0,1.0,-0.0821694967488999
PHASE3AX_BASELINE,heart,-4.84,right_ankle_pitch_joint,pitch,-0.8361106686730173,0.7,-0.585277468071112,1.0,0.7643678160919539,-0.6390960858247775,1.0,1.0,1.0,1.0,-0.6390960858247775
PHASE3AX_BASELINE,heart,-4.84,right_ankle_roll_joint,roll,0.6189152856270426,0.7,0.4332406999389298,1.0,0.7,0.4332406999389298,1.0,1.0,1.0,1.0,0.4332406999389298
PHASE3AX_BASELINE,heart,-4.84,right_hip_pitch_joint,pitch,-0.8361106686730173,0.1,-0.08361106686730174,1.0,0.0873563218390804,-0.0730395526656888,1.0,1.0,1.0,1.0,-0.0730395526656888
PHASE3AX_BASELINE,heart,-4.84,right_hip_roll_joint,roll,0.6189152856270426,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.84,right_knee_joint,pitch,-0.8361106686730173,0.15,-0.12541660030095259,1.0,0.0982758620689655,-0.0821694967488999,1.0,1.0,1.0,1.0,-0.0821694967488999
PHASE3AX_BASELINE,heart,-4.84,waist_pitch_joint,pitch,-0.8361106686730173,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.84,waist_roll_joint,roll,0.6189152856270426,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.82,left_ankle_pitch_joint,pitch,-0.5028744904412861,0.7,-0.35201214330890024,1.0,0.7643678160919539,-0.38438107602696,1.0,1.0,1.0,1.0,-0.38438107602696
PHASE3AX_BASELINE,heart,-4.82,left_ankle_roll_joint,roll,0.6259839146931452,0.7,0.4381887402852016,1.0,0.7,0.4381887402852016,1.0,1.0,1.0,1.0,0.4381887402852016
PHASE3AX_BASELINE,heart,-4.82,left_hip_pitch_joint,pitch,-0.5028744904412861,0.1,-0.05028744904412861,1.0,0.0873563218390804,-0.0439292658316525,1.0,1.0,1.0,1.0,-0.0439292658316525
PHASE3AX_BASELINE,heart,-4.82,left_hip_roll_joint,roll,0.6259839146931452,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.82,left_knee_joint,pitch,-0.5028744904412861,0.15,-0.0754311735661929,1.0,0.0982758620689655,-0.0494204240606091,1.0,1.0,1.0,1.0,-0.0494204240606091
PHASE3AX_BASELINE,heart,-4.82,right_ankle_pitch_joint,pitch,-0.5028744904412861,0.7,-0.35201214330890024,1.0,0.7643678160919539,-0.38438107602696,1.0,1.0,1.0,1.0,-0.38438107602696
PHASE3AX_BASELINE,heart,-4.82,right_ankle_roll_joint,roll,0.6259839146931452,0.7,0.4381887402852016,1.0,0.7,0.4381887402852016,1.0,1.0,1.0,1.0,0.4381887402852016
PHASE3AX_BASELINE,heart,-4.82,right_hip_pitch_joint,pitch,-0.5028744904412861,0.1,-0.05028744904412861,1.0,0.0873563218390804,-0.0439292658316525,1.0,1.0,1.0,1.0,-0.0439292658316525
PHASE3AX_BASELINE,heart,-4.82,right_hip_roll_joint,roll,0.6259839146931452,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.82,right_knee_joint,pitch,-0.5028744904412861,0.15,-0.0754311735661929,1.0,0.0982758620689655,-0.0494204240606091,1.0,1.0,1.0,1.0,-0.0494204240606091
PHASE3AX_BASELINE,heart,-4.82,waist_pitch_joint,pitch,-0.5028744904412861,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.82,waist_roll_joint,roll,0.6259839146931452,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
